2025-12-12 06:58:45 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-12 06:58:45 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-12 06:58:45 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-12 07:09:25 UTC | himanshu1001 | navigate | /treatment | GET request
2025-12-12 16:40:27 UTC | himanshu1001 | login_success | /login | User logged in
2025-12-12 16:40:30 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-12 16:40:30 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-12 16:40:30 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-12 16:40:30 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-12 16:40:30 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-12 16:42:33 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-12 17:10:38 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-12 17:10:39 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-12 17:10:39 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-12 17:10:39 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-12 17:10:40 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-12 17:10:44 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-12 17:10:45 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-12 17:10:45 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-12 17:10:45 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-12 17:10:45 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
